5.000000000000000000e+00 3.000000000000000000e+00 7.499999999999999722e-03
6.000000000000000000e+00 3.000000000000000000e+00 7.499999999999999722e-03
7.000000000000000000e+00 9.000000000000000000e+00 2.249999999999999917e-02
8.000000000000000000e+00 1.600000000000000000e+01 4.000000000000000083e-02
9.000000000000000000e+00 2.600000000000000000e+01 6.500000000000000222e-02
1.000000000000000000e+01 2.700000000000000000e+01 6.750000000000000444e-02
1.100000000000000000e+01 4.500000000000000000e+01 1.125000000000000028e-01
1.200000000000000000e+01 4.100000000000000000e+01 1.024999999999999939e-01
1.300000000000000000e+01 3.500000000000000000e+01 8.749999999999999445e-02
1.400000000000000000e+01 3.600000000000000000e+01 8.999999999999999667e-02
1.500000000000000000e+01 4.100000000000000000e+01 1.024999999999999939e-01
1.600000000000000000e+01 3.700000000000000000e+01 9.249999999999999889e-02
1.700000000000000000e+01 2.900000000000000000e+01 7.249999999999999500e-02
1.800000000000000000e+01 1.500000000000000000e+01 3.749999999999999861e-02
1.900000000000000000e+01 1.000000000000000000e+01 2.500000000000000139e-02
2.000000000000000000e+01 1.400000000000000000e+01 3.500000000000000333e-02
2.100000000000000000e+01 6.000000000000000000e+00 1.499999999999999944e-02
2.200000000000000000e+01 3.000000000000000000e+00 7.499999999999999722e-03
2.300000000000000000e+01 1.000000000000000000e+00 2.500000000000000052e-03
2.400000000000000000e+01 2.000000000000000000e+00 5.000000000000000104e-03
2.600000000000000000e+01 1.000000000000000000e+00 2.500000000000000052e-03
