t;U
360.031;8.7267
361.031;8.7165
362.031;8.7054
363.031;8.6942
364.03;8.684
365.031;8.6744
366.03;8.6642
367.031;8.6543
368.031;8.6433
369.03;8.6327
370.031;8.6219
371.031;8.6113
372.03;8.6019
373.031;8.5906
374.031;8.5806
375.031;8.5706
376.03;8.5601
377.031;8.5503
378.031;8.5406
379.031;8.5296
380.031;8.5192
381.031;8.5091
382.03;8.4988
383.03;8.4887
384.031;8.4778
385.031;8.4682
386.031;8.4574
387.031;8.4477
388.03;8.4377
389.031;8.4267
390.031;8.4167
391.031;8.4065
392.03;8.3961
393.031;8.3865
394.031;8.3763
395.031;8.366
396.03;8.3555
397.031;8.3461
398.031;8.3352
399.031;8.3244
400.03;8.3141
401.03;8.3038
402.03;8.2942
403.03;8.2833
404.03;8.2733
405.031;8.2633
406.031;8.2535
407.03;8.2433
408.031;8.2334
409.03;8.2225
410.031;8.2122
411.031;8.2018
412.031;8.1919
413.031;8.1818
414.031;8.1717
415.031;8.1617
416.031;8.1504
417.031;8.1412
418.031;8.1312
419.031;8.1209
420.031;8.1117
421.031;8.1015
422.031;8.0925
423.03;8.0828
424.03;8.0725
425.03;8.0632
426.031;8.0532
427.031;8.0439
428.031;8.0338
429.031;8.0246
430.031;8.0154
431.031;8.0054
432.031;7.9962
433.031;7.9864
434.031;7.9769
435.031;7.967
436.031;7.9579
437.031;7.9485
438.031;7.9389
439.031;7.9303
