t;U
0;14.8424
1.014;14.827
2.013;14.8138
3.014;14.8001
4.013;14.7873
5.014;14.7744
6.014;14.7618
7.013;14.7486
8.013;14.7361
9.014;14.7254
10.013;14.7137
11.014;14.7026
12.013;14.6907
13.013;14.6792
14.014;14.6687
15.013;14.6589
16.014;14.6476
17.013;14.6364
18.014;14.6261
19.013;14.6144
20.014;14.6043
21.013;14.594
22.013;14.5834
23.014;14.5724
24.013;14.5625
25.014;14.5521
26.013;14.5416
27.014;14.5321
28.013;14.5216
29.014;14.5108
30.014;14.5006
31.013;14.4896
32.014;14.4798
33.013;14.4706
34.014;14.4595
35.013;14.45
36.013;14.4371
37.014;14.4281
38.013;14.4171
39.014;14.4067
40.013;14.3969
41.013;14.3857
42.014;14.3748
43.013;14.3645
44.013;14.3539
45.014;14.3422
46.014;14.3321
47.013;14.3227
48.014;14.3118
49.013;14.302
50.014;14.2908
51.013;14.2813
52.014;14.2716
53.013;14.261
54.014;14.2502
55.013;14.2411
56.014;14.2307
57.013;14.2217
58.014;14.2107
59.013;14.2004
60.014;14.1904
61.013;14.1813
62.014;14.1713
63.013;14.1622
64.014;14.1515
65.013;14.142
66.014;14.1317
67.013;14.1219
68.014;14.1123
69.013;14.1034
70.013;14.0928
71.013;14.0836
72.014;14.0734
73.013;14.0638
74.014;14.0537
75.013;14.0433
76.014;14.0334
77.013;14.0244
78.014;14.014
79.014;14.0051
80.013;13.9948
81.014;13.985
82.014;13.9752
83.013;13.9651
84.014;13.9562
85.013;13.9465
86.014;13.9368
87.013;13.9247
88.014;13.9185
89.013;13.9085
90.014;13.9001
91.013;13.8889
92.014;13.8805
93.013;13.8698
94.014;13.8608
95.013;13.851
96.014;13.8409
97.013;13.8315
98.014;13.8224
99.013;13.8136
100.014;13.8037
101.013;13.7939
102.014;13.7852
103.014;13.7714
104.013;13.7665
105.014;13.7593
106.013;13.7478
107.014;13.7387
108.013;13.7296
109.014;13.7207
110.013;13.7116
111.013;13.7011
112.014;13.6934
113.013;13.6838
114.014;13.6741
115.013;13.6654
116.014;13.6557
117.013;13.6467
118.014;13.6379
119.013;13.6282
120.014;13.6193
121.013;13.6093
122.014;13.601
123.013;13.5921
124.014;13.5836
125.014;13.5744
126.014;13.5647
127.013;13.5549
128.013;13.5454
129.014;13.5365
130.013;13.5265
131.013;13.518
132.014;13.5086
133.014;13.4988
134.013;13.49
135.014;13.4809
136.013;13.4714
137.014;13.4634
138.014;13.4544
139.013;13.4442
140.014;13.4364
141.013;13.4269
142.013;13.4179
143.014;13.4094
144.014;13.4005
145.013;13.3905
146.014;13.3823
147.014;13.3726
148.013;13.3641
149.014;13.3552
150.014;13.3465
151.013;13.3381
152.014;13.3277
153.014;13.3185
154.014;13.3101
155.013;13.3012
156.014;13.2919
157.013;13.2832
158.013;13.2753
159.014;13.2649
160.014;13.2561
161.013;13.2476
162.014;13.239
163.014;13.2299
164.013;13.2211
165.014;13.2125
166.014;13.2041
167.013;13.1948
168.014;13.1868
169.014;13.1776
170.013;13.1685
171.014;13.1611
172.014;13.1517
173.013;13.1406
174.014;13.1345
175.014;13.1263
176.013;13.1184
177.014;13.1093
178.014;13.0993
179.014;13.0914
180.013;13.0824
181.013;13.0768
182.014;13.0663
183.014;13.0584
184.013;13.051
185.014;13.0417
186.014;13.0329
187.013;13.0234
188.013;13.0155
189.014;13.0076
190.014;12.9981
191.014;12.99
192.013;12.9814
193.013;12.9721
194.013;12.9636
195.013;12.955
196.013;12.9463
197.014;12.937
198.014;12.9284
199.013;12.92
200.013;12.9115
201.014;12.9024
202.014;12.8932
203.014;12.8852
204.013;12.8761
205.013;12.8675
206.014;12.8585
207.014;12.8499
208.013;12.8418
209.013;12.8331
210.014;12.8254
211.014;12.817
212.014;12.8089
213.014;12.8004
214.013;12.7918
215.014;12.7848
216.014;12.7765
217.013;12.7673
218.013;12.7593
219.014;12.7502
220.014;12.7428
221.013;12.7343
222.013;12.7256
223.013;12.7174
224.014;12.7094
225.014;12.7004
226.014;12.6919
227.013;12.6835
228.014;12.6752
229.014;12.6678
230.014;12.6602
231.014;12.6516
232.013;12.6437
233.013;12.6352
234.014;12.6276
235.014;12.62
236.013;12.6111
237.013;12.6027
238.014;12.5944
239.014;12.5871
240.014;12.5787
241.014;12.5704
242.013;12.5617
243.014;12.5538
244.014;12.5455
245.014;12.5373
246.014;12.5291
247.014;12.5216
248.013;12.513
249.013;12.5051
250.013;12.496
251.013;12.4881
252.013;12.4797
253.013;12.4718
254.014;12.4644
255.014;12.4557
256.013;12.4468
257.013;12.439
258.014;12.4318
259.014;12.4225
260.014;12.4149
261.013;12.4072
262.013;12.3992
263.013;12.3914
264.013;12.3824
265.014;12.3749
266.013;12.3661
267.013;12.3586
268.014;12.3512
269.014;12.3431
270.013;12.3347
271.013;12.3268
272.013;12.319
273.014;12.3094
274.014;12.3018
275.014;12.2946
276.014;12.2862
277.014;12.2778
278.014;12.2703
279.014;12.2616
280.013;12.2538
281.013;12.2461
282.014;12.2381
283.014;12.2299
284.014;12.2214
285.014;12.2142
286.014;12.2064
287.014;12.1982
288.014;12.1903
289.013;12.1827
290.013;12.175
291.013;12.167
292.014;12.1584
293.014;12.1516
