t;U
0;5.6207
0.973;5.6119
1.945;5.5981
2.938;5.5886
3.938;5.5766
4.939;5.5652
5.938;5.5538
6.938;5.5423
7.938;5.5298
8.938;5.518
9.938;5.5069
10.938;5.4945
11.938;5.4825
12.938;5.4708
13.938;5.4585
14.938;5.4471
15.938;5.4349
16.938;5.423
17.938;5.411
18.938;5.3992
19.938;5.3872
20.938;5.3751
21.938;5.363
22.938;5.3518
23.939;5.3398
24.938;5.3273
25.938;5.3164
26.939;5.3058
27.939;5.294
28.938;5.2814
29.938;5.2707
30.939;5.2586
31.938;5.2476
32.938;5.2366
33.938;5.225
34.938;5.2132
35.938;5.2022
36.939;5.1915
37.938;5.1801
38.938;5.1684
39.939;5.1584
40.939;5.1473
41.938;5.1362
42.939;5.1255
43.938;5.1141
44.938;5.1036
45.938;5.0926
46.938;5.0819
47.938;5.0714
48.938;5.0609
49.938;5.0497
50.938;5.0396
51.938;5.0283
52.938;5.0184
53.938;5.0067
54.938;4.9966
55.939;4.9856
56.938;4.9745
57.938;4.9643
58.938;4.9536
59.939;4.9432
60.938;4.9331
61.938;4.9219
62.938;4.9116
63.938;4.9016
64.938;4.8912
65.938;4.8806
66.938;4.8704
67.938;4.8598
68.938;4.8487
69.938;4.839
70.938;4.8287
71.938;4.819
72.938;4.8083
73.938;4.7986
74.938;4.7876
75.938;4.7777
76.938;4.7671
77.938;4.756
78.939;4.7461
79.939;4.7363
80.938;4.7257
81.938;4.716
82.938;4.7048
83.938;4.6949
84.938;4.6841
85.938;4.6733
86.938;4.663
87.938;4.6535
88.938;4.6433
89.938;4.6329
90.938;4.6225
91.938;4.6132
92.938;4.6018
93.938;4.5927
94.939;4.5825
95.938;4.5723
96.939;4.5624
97.939;4.5527
98.939;4.543
99.939;4.5334
100.938;4.524
101.938;4.5133
102.938;4.5029
103.938;4.4935
104.938;4.4845
105.938;4.4752
106.938;4.4656
107.938;4.4558
108.938;4.4461
109.938;4.4365
110.938;4.427
111.938;4.4179
112.938;4.4072
113.938;4.3978
114.938;4.389
115.938;4.3796
116.938;4.3709
117.938;4.3609
118.938;4.3509
119.938;4.3412
120.938;4.3322
121.938;4.3232
122.938;4.3138
123.938;4.3048
124.939;4.2953
125.939;4.2857
126.938;4.2774
127.938;4.2683
128.938;4.2587
129.938;4.2497
130.938;4.2407
131.938;4.2314
132.939;4.2234
133.938;4.2146
134.938;4.2053
135.938;4.1966
136.938;4.1876
137.938;4.1797
138.938;4.1711
139.939;4.1623
140.938;4.1527
141.938;4.1439
142.938;4.1367
143.938;4.126
144.938;4.1182
145.939;4.1097
146.938;4.1009
147.938;4.0924
148.938;4.0835
149.939;4.0744
150.938;4.0651
151.938;4.0574
152.938;4.0483
153.938;4.0401
154.938;4.0314
155.938;4.0237
156.938;4.0147
157.939;4.0064
158.938;3.9981
159.939;3.9894
160.938;3.9818
161.938;3.9732
162.938;3.9647
163.938;3.9568
164.939;3.9481
165.938;3.9405
166.939;3.9322
167.938;3.9239
168.939;3.916
169.938;3.9071
170.938;3.8985
171.938;3.8902
172.938;3.8823
173.938;3.8742
174.938;3.8668
175.938;3.8581
176.938;3.8499
177.938;3.8415
178.938;3.8328
179.939;3.8252
180.939;3.8165
181.938;3.8079
182.938;3.8003
183.938;3.7926
184.938;3.7838
185.939;3.7762
186.938;3.7684
187.938;3.76
188.938;3.7524
189.938;3.7442
190.938;3.7365
191.938;3.7283
192.938;3.7218
193.938;3.7147
194.938;3.707
195.938;3.699
196.939;3.6908
197.938;3.6835
198.938;3.6754
199.938;3.6683
200.938;3.6601
201.938;3.6523
202.938;3.6451
203.938;3.6368
204.938;3.6295
205.939;3.6234
206.938;3.6149
207.938;3.6078
208.938;3.6002
209.938;3.5925
210.938;3.5855
211.938;3.5779
212.938;3.5706
213.939;3.5632
214.938;3.5557
215.938;3.5488
216.938;3.5412
217.938;3.5338
218.938;3.5252
219.938;3.5181
220.938;3.511
221.939;3.5044
222.938;3.4973
223.938;3.4902
224.938;3.4826
225.937;3.4744
226.938;3.4678
227.938;3.4607
228.938;3.4536
229.939;3.4468
