t;U
230.938;3.439
231.938;3.4322
232.938;3.4259
233.938;3.4188
234.938;3.4124
235.938;3.4041
236.938;3.3981
237.938;3.3916
238.939;3.3847
239.938;3.3775
240.938;3.3699
241.938;3.3633
242.938;3.3562
243.938;3.3486
244.938;3.342
245.938;3.335
246.938;3.3285
247.938;3.3208
248.938;3.3137
249.938;3.3058
250.938;3.299
251.938;3.2914
252.938;3.2842
253.938;3.2769
254.938;3.2713
255.938;3.264
256.938;3.257
257.938;3.2506
258.938;3.2439
259.938;3.2369
260.939;3.2289
261.939;3.2218
262.938;3.2144
263.938;3.208
264.938;3.201
265.938;3.194
266.938;3.1868
267.938;3.1806
268.937;3.1739
269.938;3.1668
270.938;3.1603
271.939;3.1544
272.938;3.1473
273.938;3.1398
274.938;3.1335
275.938;3.1281
276.938;3.1223
277.938;3.116
278.938;3.1092
279.938;3.1027
280.938;3.0975
281.938;3.0901
282.938;3.0856
283.938;3.079
284.938;3.0723
285.938;3.066
286.938;3.0599
287.938;3.0543
288.938;3.0483
289.939;3.0428
290.938;3.0362
291.938;3.0298
292.938;3.0238
293.938;3.0173
294.938;3.0114
295.938;3.0058
296.938;2.9987
297.938;2.9925
298.938;2.987
299.939;2.9806
300.938;2.9735
301.938;2.9675
302.938;2.9621
303.938;2.9553
304.938;2.9498
305.938;2.9434
306.938;2.9368
307.938;2.9318
308.938;2.9254
309.938;2.9193
310.938;2.9126
311.938;2.9073
312.938;2.9016
313.938;2.8952
314.938;2.8895
315.938;2.8841
316.938;2.877
317.938;2.8717
318.938;2.8658
319.938;2.8599
320.938;2.8539
321.938;2.8482
322.938;2.842
323.938;2.8364
