t;U
0;14.3794
0.973;14.3633
1.911;14.3512
2.883;14.3427
3.873;14.3264
4.872;14.3127
5.872;14.2993
6.872;14.2864
7.872;14.2732
8.872;14.2595
9.872;14.2459
10.872;14.2324
11.872;14.218
12.872;14.2042
13.872;14.1911
14.872;14.1757
15.872;14.1614
16.872;14.1469
17.873;14.1331
18.872;14.1187
19.872;14.1036
20.872;14.0908
21.872;14.0758
22.873;14.0619
23.873;14.0476
24.873;14.0329
25.873;14.0186
26.873;14.0046
27.873;13.9903
28.873;13.9764
29.873;13.9623
30.873;13.9478
31.872;13.935
32.872;13.9205
33.872;13.9061
34.872;13.8917
35.872;13.8784
36.872;13.8644
37.873;13.8501
38.873;13.8359
39.873;13.821
40.872;13.8087
41.872;13.7935
42.872;13.7805
43.872;13.7655
44.872;13.7521
45.872;13.7382
46.872;13.7238
47.872;13.7099
48.873;13.6962
49.873;13.6827
50.873;13.6688
51.873;13.6551
52.873;13.6416
53.873;13.6278
54.872;13.6135
55.872;13.5989
56.872;13.5863
57.872;13.5735
58.873;13.5597
59.873;13.5459
60.873;13.5326
61.873;13.5194
62.873;13.5058
63.872;13.4929
64.872;13.4791
65.873;13.4666
66.873;13.4529
67.873;13.4397
68.873;13.4262
69.873;13.4131
70.872;13.4006
71.873;13.3867
72.873;13.3742
73.873;13.3604
74.872;13.3474
75.873;13.3345
76.873;13.3218
77.872;13.3083
78.873;13.2959
79.873;13.2832
80.873;13.27
81.873;13.2568
82.872;13.2437
83.873;13.2308
84.873;13.2173
85.873;13.2049
86.872;13.1921
87.872;13.1784
88.872;13.1663
89.873;13.1531
90.873;13.1405
91.873;13.1287
92.872;13.1149
93.873;13.102
94.873;13.0898
95.872;13.0762
96.873;13.0639
97.873;13.0514
98.872;13.0389
99.872;13.026
100.873;13.0136
101.873;13.0014
102.872;12.9881
103.873;12.9755
104.873;12.9627
105.872;12.9503
106.873;12.9384
107.873;12.9254
108.872;12.9121
109.873;12.8996
110.873;12.8865
111.873;12.8736
112.872;12.8612
113.872;12.8488
114.873;12.8355
115.873;12.8233
116.872;12.8103
117.873;12.7975
118.873;12.7858
119.873;12.7724
120.873;12.7604
121.873;12.7473
122.872;12.7354
123.873;12.7228
124.873;12.7103
125.873;12.6978
126.872;12.6855
127.873;12.6733
128.873;12.661
129.872;12.6493
130.872;12.637
131.872;12.6253
132.873;12.6128
133.873;12.601
134.872;12.5893
135.873;12.5773
136.873;12.566
137.872;12.5527
138.873;12.5413
139.873;12.5287
140.872;12.5162
141.873;12.5046
142.873;12.4925
143.873;12.4802
144.873;12.4682
145.872;12.4557
146.872;12.4434
147.873;12.4322
148.873;12.4193
149.872;12.408
150.873;12.3964
151.872;12.3841
152.873;12.3721
153.872;12.361
154.872;12.3493
155.873;12.3377
156.873;12.3256
157.872;12.3141
158.873;12.3016
159.873;12.2904
160.873;12.2781
161.872;12.2672
162.873;12.2552
163.873;12.2428
164.873;12.2315
165.872;12.2201
166.873;12.2094
167.873;12.1976
168.872;12.1854
169.873;12.1737
170.873;12.1625
171.872;12.1512
172.872;12.1393
173.873;12.1277
174.872;12.1171
175.873;12.1055
176.873;12.094
177.872;12.0828
178.873;12.0721
179.872;12.0616
180.873;12.0497
181.873;12.0375
182.872;12.0256
183.873;12.0147
184.873;12.0041
185.873;11.9929
186.873;11.9812
187.873;11.9693
188.873;11.9593
189.872;11.9478
190.873;11.9367
191.873;11.9255
192.872;11.9153
193.873;11.9034
194.872;11.8926
195.873;11.8817
196.873;11.8707
197.872;11.8597
198.873;11.8478
199.872;11.8378
200.872;11.8262
201.873;11.8158
202.872;11.8053
203.873;11.7936
204.873;11.7826
205.873;11.7714
206.873;11.7606
207.873;11.7508
208.873;11.7397
209.872;11.7296
210.872;11.7184
211.873;11.7076
212.873;11.6965
213.872;11.6862
214.873;11.6742
215.873;11.6639
216.873;11.6529
217.872;11.6435
218.873;11.6318
219.873;11.6216
220.872;11.6108
221.873;11.5986
222.872;11.5886
223.873;11.5774
224.872;11.5665
225.873;11.556
226.872;11.5452
227.873;11.5347
228.873;11.5235
229.872;11.5124
230.873;11.5024
231.872;11.492
232.873;11.4812
233.873;11.47
234.873;11.4599
235.872;11.45
236.873;11.4401
237.872;11.4291
238.873;11.4188
239.873;11.4075
240.873;11.3967
241.873;11.3859
242.873;11.3755
243.873;11.3656
244.873;11.3542
245.873;11.3448
246.872;11.3347
247.873;11.3242
248.873;11.3126
249.872;11.3027
250.873;11.293
251.873;11.2831
252.873;11.2721
253.873;11.2627
254.872;11.2536
255.873;11.243
256.873;11.2313
257.873;11.2233
258.872;11.212
259.873;11.202
260.872;11.1924
261.873;11.1822
262.872;11.1719
263.873;11.1629
264.872;11.1515
265.873;11.1423
266.872;11.1312
267.873;11.1214
268.872;11.111
269.873;11.1012
270.872;11.0911
271.873;11.0816
272.872;11.0709
273.873;11.0613
274.872;11.0505
275.873;11.0412
276.872;11.0313
277.873;11.0214
278.872;11.0108
279.873;11.0013
280.873;10.9922
281.873;10.982
282.873;10.9714
283.872;10.9618
284.873;10.9523
285.873;10.9416
286.873;10.9329
287.873;10.9231
288.872;10.9128
289.873;10.9026
290.872;10.8937
291.873;10.8835
292.873;10.8738
293.873;10.8641
294.872;10.8545
295.873;10.8448
296.873;10.8353
297.872;10.826
298.873;10.8151
299.872;10.8064
300.873;10.7966
301.872;10.7866
302.873;10.7767
303.872;10.7666
304.873;10.757
305.873;10.7485
306.872;10.7376
307.873;10.7285
308.872;10.7185
309.873;10.7079
310.872;10.6997
311.873;10.6895
312.872;10.6797
313.873;10.6705
314.873;10.6612
315.872;10.6516
316.873;10.6411
317.872;10.6329
318.873;10.6231
319.872;10.6132
320.873;10.6035
321.871;10.5942
322.871;10.5861
323.871;10.5747
324.872;10.5658
325.871;10.5559
326.872;10.5467
327.871;10.5373
328.872;10.5279
329.872;10.5187
330.871;10.5089
331.872;10.4996
332.871;10.4909
333.872;10.4811
334.871;10.4724
335.872;10.4623
336.871;10.4525
337.872;10.4434
338.871;10.4339
339.871;10.4251
340.872;10.4158
341.871;10.4065
342.871;10.3977
343.872;10.3883
344.871;10.3797
345.872;10.3702
346.872;10.3618
347.871;10.3521
348.872;10.3418
349.871;10.3343
350.872;10.3248
351.871;10.3166
352.871;10.3072
353.871;10.2988
354.872;10.289
355.871;10.2798
356.872;10.2708
357.871;10.2624
358.872;10.2534
359.872;10.2441
360.871;10.2351
361.872;10.2268
362.872;10.2184
363.871;10.2089
364.872;10.2001
365.871;10.1913
366.872;10.1814
367.871;10.1732
368.872;10.164
369.871;10.1547
370.871;10.1467
371.872;10.1366
372.871;10.1287
373.872;10.1199
374.871;10.111
375.871;10.1024
376.872;10.0932
377.871;10.0839
378.872;10.0747
379.872;10.0662
380.872;10.0572
381.872;10.0479
382.872;10.0391
383.871;10.0306
384.871;10.0222
385.872;10.0119
386.872;10.0047
387.873;9.9955
388.872;9.9873
389.873;9.9777
390.872;9.9689
391.873;9.9597
392.873;9.9514
393.873;9.9428
394.872;9.9339
395.873;9.9238
396.873;9.9153
397.873;9.9069
398.872;9.898
399.873;9.8901
400.873;9.8808
401.873;9.8718
402.872;9.8632
403.872;9.8549
404.872;9.846
405.873;9.8359
406.873;9.8271
407.873;9.8184
408.873;9.8096
409.873;9.8007
410.873;9.7923
411.873;9.7835
412.872;9.7754
413.873;9.7675
414.873;9.7588
415.873;9.7492
416.872;9.7411
417.872;9.7331
418.873;9.7246
419.873;9.7166
420.873;9.7079
421.873;9.6994
422.873;9.6918
423.872;9.6831
424.873;9.6747
425.873;9.6665
426.873;9.6584
427.873;9.6503
428.873;9.6414
429.873;9.6336
430.873;9.6258
431.873;9.6175
432.873;9.6094
433.873;9.6014
434.873;9.5932
435.873;9.5851
436.873;9.5773
437.873;9.5676
438.873;9.5609
439.873;9.5527
440.873;9.5445
441.873;9.536
442.872;9.5279
443.872;9.5201
444.872;9.5129
445.873;9.5029
446.873;9.4953
447.873;9.4871
448.873;9.4794
449.872;9.4716
450.872;9.4632
451.873;9.4547
452.873;9.446
453.873;9.438
454.873;9.4309
455.872;9.4222
456.872;9.4138
457.872;9.4055
458.873;9.3973
459.873;9.3902
460.873;9.3809
461.873;9.3734
462.873;9.3654
463.872;9.3569
464.873;9.3489
465.873;9.3403
466.873;9.3328
467.873;9.3253
468.873;9.3172
469.873;9.309
470.872;9.301
471.873;9.2922
472.873;9.2856
473.873;9.2768
474.873;9.2696
475.873;9.2614
476.872;9.2533
477.873;9.2454
478.873;9.2378
479.873;9.2294
480.873;9.2221
481.873;9.2139
482.872;9.2062
483.872;9.1983
484.872;9.1908
485.873;9.1827
486.873;9.1743
487.873;9.1673
488.873;9.1587
489.872;9.1509
490.873;9.1438
491.873;9.1351
492.873;9.1265
493.873;9.1182
494.873;9.1099
495.873;9.1021
496.872;9.094
497.873;9.086
498.873;9.078
499.872;9.0695
500.872;9.062
501.873;9.0536
502.873;9.0454
503.873;9.0376
504.873;9.0296
505.873;9.0213
506.873;9.0141
507.873;9.0062
508.873;8.9984
509.873;8.9911
510.873;8.9835
511.873;8.9753
512.873;8.9675
513.873;8.96
514.873;8.952
515.873;8.9445
516.873;8.9369
517.873;8.9287
518.872;8.9213
519.872;8.9139
520.873;8.9062
521.872;8.8985
522.872;8.8906
523.873;8.8838
524.873;8.8771
525.873;8.8691
526.873;8.8619
527.873;8.854
528.873;8.8467
529.872;8.8387
530.872;8.8318
531.872;8.8242
532.873;8.8163
533.873;8.8087
534.873;8.8011
535.873;8.793
536.873;8.7852
537.873;8.7776
538.873;8.7709
539.872;8.7627
540.873;8.7556
541.872;8.748
542.872;8.7409
543.872;8.7331
544.873;8.7261
545.872;8.7178
546.872;8.7112
547.872;8.7038
548.872;8.6953
549.873;8.6878
550.873;8.6808
551.873;8.6736
552.873;8.6667
553.873;8.6589
554.873;8.6513
555.873;8.645
556.873;8.6375
557.873;8.6299
558.873;8.6237
559.873;8.6162
560.872;8.6088
561.872;8.6015
562.873;8.5941
563.873;8.5875
564.873;8.58
565.873;8.5731
566.873;8.5644
567.873;8.5577
568.873;8.5504
569.873;8.5436
570.873;8.5352
571.873;8.5281
572.873;8.521
573.873;8.5135
574.873;8.5066
575.873;8.4995
576.873;8.4922
577.873;8.4853
578.873;8.4784
579.873;8.4712
580.872;8.4643
581.873;8.4571
582.873;8.4502
583.873;8.4429
584.873;8.4363
585.873;8.4295
586.873;8.4219
587.873;8.4156
588.872;8.4086
589.872;8.4013
590.872;8.3939
591.873;8.3877
592.873;8.3804
593.873;8.3736
594.873;8.3665
595.873;8.359
596.873;8.3532
597.872;8.345
598.873;8.3384
599.873;8.3315
600.873;8.3245
601.873;8.3172
602.873;8.3105
603.873;8.3045
604.872;8.2975
605.873;8.2905
606.873;8.2839
607.873;8.2768
608.873;8.2699
609.873;8.263
610.873;8.2566
611.872;8.2495
612.873;8.243
613.873;8.2361
614.873;8.229
615.873;8.2222
616.872;8.215
617.873;8.2078
618.873;8.2011
619.873;8.1948
620.873;8.1874
621.872;8.1811
622.873;8.1744
623.873;8.1674
624.872;8.1609
625.872;8.1538
626.873;8.1471
627.872;8.141
628.872;8.1332
629.873;8.1265
630.873;8.1198
631.873;8.1129
632.872;8.1062
633.873;8.0998
634.873;8.0928
635.872;8.0857
636.873;8.0787
637.873;8.072
638.873;8.0657
639.872;8.0593
640.873;8.0523
641.873;8.0461
642.873;8.0384
643.872;8.0331
644.873;8.0255
645.872;8.0191
646.873;8.0126
647.873;8.0061
648.873;7.9987
649.873;7.9928
650.873;7.9863
651.872;7.9796
652.873;7.9727
653.873;7.9653
654.872;7.9581
655.873;7.9518
656.873;7.9445
657.873;7.9388
658.873;7.9318
659.872;7.9251
660.873;7.9185
661.873;7.9116
662.872;7.9051
663.873;7.8986
664.873;7.8919
665.873;7.8849
666.873;7.8782
667.872;7.8718
668.873;7.8648
669.873;7.859
670.872;7.8524
671.872;7.846
672.873;7.8385
